"Company","2006-07 Actual","2007-08 Actual","2008-09 Actual","2009-10 Actual","2010-11 Actual","2011-12 BE","2011-12 (Anticipated)","2012-13 BE","2016-17"
"ECL",30.47,24.06,28.14,30.06,30.81,33.0,31.0,33.0,45.0
"BCCL",24.21,25.22,25.51,27.51,29.04,30.0,30.2,31.0,37.0
"CCL",41.32,44.15,43.24,47.08,47.52,51.0,49.0,55.0,92.0
"NCL",52.16,59.62,63.65,67.67,66.25,68.5,68.5,70.0,82.0
"WCL",43.21,43.51,44.7,45.74,43.65,45.5,43.8,45.0,45.0
"SECL",88.5,93.79,101.15,108.01,112.71,112.0,113.75,117.0,145.0
"MCL",80.0,88.01,96.34,104.08,100.28,106.0,103.0,112.0,167.0
"NEC",1.05,1.1,1.01,1.11,1.06,1.0,0.75,1.1,2.0
"CIL",360.92,379.46,403.74,431.26,431.32,447.0,440.0,464.1,615.0
"SCCL",37.71,40.6,44.54,50.43,51.33,51.0,51.0,53.1,57.0
"Other Public Sector including Private TIOSCO",8.81,9.23,9.12,10.51,8.84,11.95,17.75,18.0,23.0
"Captive",17.61,21.17,29.87,35.03,34.6,38.25,36.15,39.8,100.0
"Meghalaya",5.79,6.54,5.49,5.77,6.97,5.8,0.0,0.0,0.0
"Grand Total",430.84,457.0,492.76,533.0,533.06,554.0,544.9,575.0,795.0
