"Plan","Time Period","Length Added(in km)","Total Length(in km)"
"As on 1st April, 1947","As on 1st April, 1947",0.0,21440.0
"Pre First Plan (1947-51)","Pre First Plan (1947-51)",815.0,22255.0
"First Plan (1951-56)","First Plan (1951-56)",815.0,22255.0
"Second Plan (1956-61)","Second Plan (1956-61)",1514.0,23769.0
"Third Plan (1961-66)","Third Plan (1961-66)",179.0,23948.0
"Interregnum (1966-69)","Interregnum (1966-69)",52.0,24000.0
"Fourth Plan (1969-74)","Fourth Plan (1969-74)",4819.0,28819.0
"Fifth Plan (1974-78)","Fifth Plan (1974-78)",158.0,28977.0
"Interregnum (1978-80)","Interregnum (1978-80)",46.0,29023.0
"Sixth Plan (1980-85)","Sixth Plan (1980-85)",2687.0,31710.0
"Seventh Plan (1985-90)","Seventh Plan (1985-90)",1902.0,33612.0
"Interregnum (1990-92)","Interregnum (1990-92)",77.0,33689.0
"Eighth Plan (1992-97)","Eighth Plan (1992-97)",609.0,34298.0
"Ninth Plan (1997-2002)","Ninth Plan (1997-2002)",23814.0,58112.0
"Tenth Plan (2002-07)","Tenth Plan (2002-07)",9008.0,66590.0
"Eleventh Plan (2007-12)","Eleventh Plan (2007-12)",10228.0,76818.0
"Eleventh Plan (2007-12)","2007-08",164.0,66754.0
"Eleventh Plan (2007-12)","2008-09",3794.0,70548.0
"Eleventh Plan (2007-12)","2009-10",386.0,70934.0
"Eleventh Plan (2007-12)","2010-11",0.0,70934.0
"Eleventh Plan (2007-12)","2011-12",5884.0,76818.0
